Loan_ID,Gender,Married,Dependents,Education,Self_Employed,Property_Area
LP001256,Male,No,0,Graduate,No,Urban
LP001259,Male,Yes,1,Graduate,Yes,Urban
LP001263,Male,Yes,3+,Graduate,No,Semiurban
LP001264,Male,Yes,3+,Not Graduate,Yes,Semiurban
LP001265,Female,No,0,Graduate,No,Semiurban
LP001266,Male,Yes,1,Graduate,Yes,Semiurban
LP001267,Female,Yes,2,Graduate,No,Urban
LP001273,Male,Yes,0,Graduate,No,Semiurban
LP001275,Male,Yes,1,Graduate,No,Urban
LP001279,Male,No,0,Graduate,No,Semiurban
LP001280,Male,Yes,2,Not Graduate,No,Semiurban
LP001282,Male,Yes,0,Graduate,No,Semiurban
LP001289,Male,No,0,Graduate,No,Urban
LP001310,Male,Yes,0,Graduate,No,Semiurban
LP001316,Male,Yes,0,Graduate,No,Semiurban
LP001318,Male,Yes,2,Graduate,No,Semiurban
LP001319,Male,Yes,2,Not Graduate,No,Urban
LP001322,Male,No,0,Graduate,No,Semiurban
LP001325,Male,No,0,Not Graduate,No,Semiurban
LP001326,Male,No,0,Graduate,,Urban
LP001327,Female,Yes,0,Graduate,No,Semiurban
LP001333,Male,Yes,0,Graduate,No,Semiurban
LP001334,Male,Yes,0,Not Graduate,No,Semiurban
LP001343,Male,Yes,0,Graduate,No,Semiurban
LP001345,Male,Yes,2,Not Graduate,No,Urban
LP001349,Male,No,0,Graduate,No,Semiurban
LP001350,Male,Yes,,Graduate,No,Urban
LP001356,Male,Yes,0,Graduate,No,Semiurban
LP001357,Male,,,Graduate,No,Urban
LP001367,Male,Yes,1,Graduate,No,Urban
LP001369,Male,Yes,2,Graduate,No,Urban
LP001370,Male,No,0,Not Graduate,,Rural
LP001379,Male,Yes,2,Graduate,No,Urban
LP001384,Male,Yes,3+,Not Graduate,No,Semiurban
LP001385,Male,No,0,Graduate,No,Urban
LP001387,Female,Yes,0,Graduate,,Semiurban
LP001391,Male,Yes,0,Not Graduate,No,Rural
LP001392,Female,No,1,Graduate,Yes,Semiurban
LP001398,Male,No,0,Graduate,,Semiurban
LP001401,Male,Yes,1,Graduate,No,Rural
LP001404,Female,Yes,0,Graduate,No,Semiurban
LP001405,Male,Yes,1,Graduate,No,Urban
LP001421,Male,Yes,0,Graduate,No,Rural
LP001422,Female,No,0,Graduate,No,Urban
LP001426,Male,Yes,,Graduate,No,Rural
LP001430,Female,No,0,Graduate,No,Semiurban
LP001431,Female,No,0,Graduate,No,Semiurban
LP001432,Male,Yes,2,Graduate,No,Semiurban
LP001439,Male,Yes,0,Not Graduate,No,Rural
LP001443,Female,No,0,Graduate,No,Rural
LP001448,,Yes,3+,Graduate,No,Rural
LP001449,Male,No,0,Graduate,No,Rural
LP001451,Male,Yes,1,Graduate,Yes,Urban
LP001465,Male,Yes,0,Graduate,No,Rural
LP001469,Male,No,0,Graduate,Yes,Urban
LP001473,Male,No,0,Graduate,No,Urban
LP001478,Male,No,0,Graduate,No,Semiurban
LP001482,Male,Yes,0,Graduate,Yes,Semiurban
LP001487,Male,No,0,Graduate,No,Semiurban
LP001488,Male,Yes,3+,Graduate,No,Semiurban
LP001489,Female,Yes,0,Graduate,No,Rural
LP001491,Male,Yes,2,Graduate,Yes,Urban
LP001492,Male,No,0,Graduate,No,Semiurban
LP001493,Male,Yes,2,Not Graduate,No,Rural
LP001497,Male,Yes,2,Graduate,No,Rural
LP001498,Male,No,0,Graduate,No,Urban
LP001504,Male,No,0,Graduate,Yes,Semiurban
LP001507,Male,Yes,0,Graduate,No,Semiurban
LP001508,Male,Yes,2,Graduate,No,Urban
LP001514,Female,Yes,0,Graduate,No,Semiurban
LP001516,Female,Yes,2,Graduate,No,Urban
LP001518,Male,Yes,1,Graduate,No,Urban
LP001519,Female,No,0,Graduate,No,Rural
LP001520,Male,Yes,0,Graduate,No,Semiurban
LP001528,Male,No,0,Graduate,No,Rural
LP001529,Male,Yes,0,Graduate,Yes,Rural
LP001531,Male,No,0,Graduate,No,Urban
LP001532,Male,Yes,2,Not Graduate,No,Rural
LP001535,Male,No,0,Graduate,No,Urban
LP001536,Male,Yes,3+,Graduate,No,Semiurban
LP001541,Male,Yes,1,Graduate,No,Rural
LP001543,Male,Yes,1,Graduate,No,Urban
LP001546,Male,No,0,Graduate,,Rural
LP001552,Male,Yes,0,Graduate,No,Semiurban
LP001560,Male,Yes,0,Not Graduate,No,Semiurban
LP001562,Male,Yes,0,Graduate,No,Urban
LP001565,Male,Yes,1,Graduate,No,Semiurban
LP001570,Male,Yes,2,Graduate,No,Rural
LP001572,Male,Yes,0,Graduate,No,Urban
LP001574,Male,Yes,0,Graduate,No,Rural
LP001577,Female,Yes,0,Graduate,No,Rural
LP001578,Male,Yes,0,Graduate,No,Rural
LP001579,Male,No,0,Graduate,No,Semiurban
LP001580,Male,Yes,2,Graduate,No,Semiurban
LP001581,Male,Yes,0,Not Graduate,,Rural
LP001585,,Yes,3+,Graduate,No,Urban
LP001586,Male,Yes,3+,Not Graduate,No,Rural
LP001594,Male,Yes,0,Graduate,No,Semiurban
LP001603,Male,Yes,0,Not Graduate,Yes,Semiurban
LP001606,Male,Yes,0,Graduate,No,Rural
LP001608,Male,Yes,2,Graduate,No,Rural
LP001610,Male,Yes,3+,Graduate,No,Semiurban
LP001616,Male,Yes,1,Graduate,No,Semiurban
LP001630,Male,No,0,Not Graduate,No,Urban
LP001633,Male,Yes,1,Graduate,No,Urban
LP001634,Male,No,0,Graduate,No,Rural
LP001636,Male,Yes,0,Graduate,No,Semiurban
LP001637,Male,Yes,1,Graduate,No,Semiurban
LP001639,Female,Yes,0,Graduate,No,Semiurban
LP001640,Male,Yes,0,Graduate,Yes,Semiurban
LP001641,Male,Yes,1,Graduate,Yes,Rural
LP001643,Male,Yes,0,Graduate,No,Rural
LP001644,,Yes,0,Graduate,Yes,Rural
LP001647,Male,Yes,0,Graduate,No,Rural
LP001653,Male,No,0,Not Graduate,No,Rural
LP001656,Male,No,0,Graduate,No,Semiurban
LP001657,Male,Yes,0,Not Graduate,No,Urban
LP001658,Male,No,0,Graduate,No,Semiurban
LP001664,Male,No,0,Graduate,No,Rural
LP001665,Male,Yes,1,Graduate,No,Semiurban
LP001666,Male,No,0,Graduate,No,Rural
LP001669,Female,No,0,Not Graduate,No,Urban
LP001671,Female,Yes,0,Graduate,No,Semiurban
LP001673,Male,No,0,Graduate,Yes,Urban
LP001674,Male,Yes,1,Not Graduate,No,Semiurban
LP001677,Male,No,2,Graduate,No,Semiurban
LP001682,Male,Yes,3+,Not Graduate,No,Urban
LP001688,Male,Yes,1,Not Graduate,No,Urban
LP001691,Male,Yes,2,Not Graduate,No,Semiurban
LP001692,Female,No,0,Not Graduate,No,Semiurban
LP001693,Female,No,0,Graduate,No,Urban
LP001698,Male,No,0,Not Graduate,No,Rural
LP001699,Male,No,0,Graduate,No,Urban
LP001702,Male,No,0,Graduate,No,Semiurban
LP001708,Female,No,0,Graduate,No,Semiurban
LP001711,Male,Yes,3+,Graduate,No,Semiurban
LP001713,Male,Yes,1,Graduate,Yes,Urban
LP001715,Male,Yes,3+,Not Graduate,Yes,Rural
LP001716,Male,Yes,0,Graduate,No,Urban
LP001720,Male,Yes,3+,Not Graduate,No,Semiurban
LP001722,Male,Yes,0,Graduate,No,Rural
LP001726,Male,Yes,0,Graduate,No,Semiurban
LP001732,Male,Yes,2,Graduate,,Semiurban
LP001734,Female,Yes,2,Graduate,No,Semiurban
LP001736,Male,Yes,0,Graduate,No,Urban
LP001743,Male,Yes,2,Graduate,No,Semiurban
LP001744,Male,No,0,Graduate,No,Semiurban
LP001749,Male,Yes,0,Graduate,No,Semiurban
LP001750,Male,Yes,0,Graduate,No,Semiurban
LP001751,Male,Yes,0,Graduate,No,Rural
LP001754,Male,Yes,,Not Graduate,Yes,Urban
LP001758,Male,Yes,2,Graduate,No,Semiurban
LP001760,Male,,,Graduate,No,Semiurban
LP001761,Male,No,0,Graduate,Yes,Rural
LP001765,Male,Yes,1,Graduate,No,Semiurban
LP001768,Male,Yes,0,Graduate,,Rural
LP001770,Male,No,0,Not Graduate,No,Rural
LP001776,Female,No,0,Graduate,No,Semiurban
LP001778,Male,Yes,1,Graduate,No,Semiurban
LP001784,Male,Yes,1,Graduate,No,Rural
LP001786,Male,Yes,0,Graduate,,Urban
LP001788,Female,No,0,Graduate,Yes,Urban
LP001790,Female,No,1,Graduate,No,Rural
LP001792,Male,Yes,1,Graduate,No,Semiurban
LP001798,Male,Yes,2,Graduate,No,Rural
LP001800,Male,Yes,1,Not Graduate,No,Urban
LP001806,Male,No,0,Graduate,No,Urban
LP001807,Male,Yes,2,Graduate,Yes,Rural
LP001811,Male,Yes,0,Not Graduate,No,Semiurban
LP001813,Male,No,0,Graduate,Yes,Urban
LP001814,Male,Yes,2,Graduate,No,Urban
LP001819,Male,Yes,1,Not Graduate,No,Urban
LP001824,Male,Yes,1,Graduate,No,Semiurban
LP001825,Male,Yes,0,Graduate,No,Urban
LP001835,Male,Yes,0,Not Graduate,No,Semiurban
LP001836,Female,No,2,Graduate,No,Urban
LP001841,Male,No,0,Not Graduate,Yes,Rural
LP001843,Male,Yes,1,Not Graduate,No,Semiurban
LP001844,Male,No,0,Graduate,Yes,Urban
LP001846,Female,No,3+,Graduate,No,Rural
LP001849,Male,No,0,Not Graduate,No,Rural
LP001854,Male,Yes,3+,Graduate,No,Urban
LP001859,Male,Yes,0,Graduate,No,Rural
LP001864,Male,Yes,3+,Not Graduate,No,Semiurban
LP001865,Male,Yes,1,Graduate,No,Urban
LP001868,Male,No,0,Graduate,No,Semiurban
LP001870,Female,No,1,Graduate,No,Semiurban
LP001871,Female,No,0,Graduate,No,Rural
LP001872,Male,No,0,Graduate,Yes,Semiurban
LP001875,Male,No,0,Graduate,No,Rural
LP001877,Male,Yes,2,Graduate,No,Semiurban
LP001882,Male,Yes,3+,Graduate,No,Urban
LP001883,Female,No,0,Graduate,,Rural
LP001884,Female,No,1,Graduate,No,Urban
LP001888,Female,No,0,Graduate,No,Urban
LP001891,Male,Yes,0,Graduate,No,Urban
LP001892,Male,No,0,Graduate,No,Rural
LP001894,Male,Yes,0,Graduate,No,Semiurban
LP001896,Male,Yes,2,Graduate,No,Semiurban
LP001900,Male,Yes,1,Graduate,No,Semiurban
LP001903,Male,Yes,0,Graduate,No,Semiurban
LP001904,Male,Yes,0,Graduate,No,Urban
LP001907,Male,Yes,0,Graduate,No,Semiurban
LP001908,Female,Yes,0,Not Graduate,No,Rural
LP001910,Male,No,1,Not Graduate,Yes,Urban
LP001914,Male,Yes,0,Graduate,No,Semiurban
LP001915,Male,Yes,2,Graduate,No,Urban
LP001917,Female,No,0,Graduate,No,Urban
LP001922,Male,Yes,0,Graduate,No,Rural
LP001924,Male,No,0,Graduate,No,Rural
LP001925,Female,No,0,Graduate,Yes,Semiurban
LP001926,Male,Yes,0,Graduate,No,Rural
LP001931,Female,No,0,Graduate,No,Semiurban
LP001935,Male,No,0,Graduate,No,Rural
LP001936,Male,Yes,0,Graduate,No,Rural
LP001938,Male,Yes,2,Graduate,No,Semiurban
LP001940,Male,Yes,2,Graduate,No,Urban
LP001945,Female,No,,Graduate,No,Urban
LP001947,Male,Yes,0,Graduate,No,Semiurban
LP001949,Male,Yes,3+,Graduate,,Urban
LP001953,Male,Yes,1,Graduate,No,Semiurban
LP001954,Female,Yes,1,Graduate,No,Urban
LP001955,Female,No,0,Graduate,No,Rural
LP001963,Male,Yes,1,Graduate,No,Urban
LP001964,Male,Yes,0,Not Graduate,No,Urban
LP001972,Male,Yes,,Not Graduate,No,Semiurban
LP001974,Female,No,0,Graduate,No,Rural
LP001977,Male,Yes,1,Graduate,No,Urban
LP001978,Male,No,0,Graduate,No,Rural
LP001990,Male,No,0,Not Graduate,No,Urban
LP001993,Female,No,0,Graduate,No,Rural
LP001994,Female,No,0,Graduate,No,Urban
LP001996,Male,No,0,Graduate,No,Rural
LP001998,Male,Yes,2,Not Graduate,No,Rural
LP002002,Female,No,0,Graduate,No,Semiurban
LP002004,Male,No,0,Not Graduate,No,Semiurban
LP002006,Female,No,0,Graduate,No,Rural
LP002008,Male,Yes,2,Graduate,Yes,Rural
LP002024,,Yes,0,Graduate,No,Rural
LP002031,Male,Yes,1,Not Graduate,No,Urban
LP002035,Male,Yes,2,Graduate,No,Semiurban
LP002036,Male,Yes,0,Graduate,No,Urban
LP002043,Female,No,1,Graduate,No,Semiurban
LP002050,Male,Yes,1,Graduate,Yes,Rural
LP002051,Male,Yes,0,Graduate,No,Semiurban
LP002053,Male,Yes,3+,Graduate,No,Semiurban
LP002054,Male,Yes,2,Not Graduate,No,Rural
LP002055,Female,No,0,Graduate,No,Rural
LP002065,Male,Yes,3+,Graduate,No,Rural
LP002067,Male,Yes,1,Graduate,Yes,Rural
LP002068,Male,No,0,Graduate,No,Rural
LP002082,Male,Yes,0,Graduate,Yes,Semiurban
LP002086,Female,Yes,0,Graduate,No,Urban
LP002087,Female,No,0,Graduate,No,Urban
LP002097,Male,No,1,Graduate,No,Urban
LP002098,Male,No,0,Graduate,No,Semiurban
LP002100,Male,No,,Graduate,No,Urban
LP002101,Male,Yes,0,Graduate,,Urban
LP002103,,Yes,1,Graduate,Yes,Urban
LP002106,Male,Yes,,Graduate,Yes,Semiurban
LP002110,Male,Yes,1,Graduate,,Rural
LP002112,Male,Yes,2,Graduate,Yes,Rural
LP002113,Female,No,3+,Not Graduate,No,Urban
LP002114,Female,No,0,Graduate,No,Semiurban
LP002115,Male,Yes,3+,Not Graduate,No,Rural
LP002116,Female,No,0,Graduate,No,Rural
LP002119,Male,Yes,1,Not Graduate,No,Urban
LP002126,Male,Yes,3+,Not Graduate,No,Semiurban
LP002128,Male,Yes,2,Graduate,,Rural
LP002129,Male,Yes,0,Graduate,No,Semiurban
LP002130,Male,Yes,,Not Graduate,No,Rural
LP002131,Male,Yes,2,Not Graduate,No,Urban
LP002137,Male,Yes,0,Graduate,No,Semiurban
LP002138,Male,Yes,0,Graduate,No,Rural
LP002139,Male,Yes,0,Graduate,No,Semiurban
LP002140,Male,No,0,Graduate,No,Rural
LP002141,Male,Yes,3+,Graduate,No,Rural
LP002142,Female,Yes,0,Graduate,Yes,Rural
LP002143,Female,Yes,0,Graduate,No,Semiurban
LP002144,Female,No,,Graduate,No,Urban
LP002149,Male,Yes,2,Graduate,No,Rural
LP002151,Male,Yes,1,Graduate,No,Urban
LP002158,Male,Yes,0,Not Graduate,No,Urban
LP002160,Male,Yes,3+,Graduate,No,Semiurban
LP002161,Female,No,1,Graduate,No,Semiurban
LP002170,Male,Yes,2,Graduate,No,Semiurban
LP002175,Male,Yes,0,Graduate,No,Urban
LP002178,Male,Yes,0,Graduate,No,Urban
LP002180,Male,No,0,Graduate,Yes,Rural
LP002181,Male,No,0,Not Graduate,No,Rural
LP002187,Male,No,0,Graduate,No,Semiurban
LP002188,Male,No,0,Graduate,No,Rural
LP002190,Male,Yes,1,Graduate,No,Semiurban
LP002191,Male,Yes,0,Graduate,No,Rural
LP002194,Female,No,0,Graduate,Yes,Semiurban
LP002197,Male,Yes,2,Graduate,No,Semiurban
LP002201,Male,Yes,2,Graduate,Yes,Rural
LP002205,Male,No,1,Graduate,No,Urban
LP002209,Female,No,0,Graduate,,Urban
LP002211,Male,Yes,0,Graduate,No,Urban
LP002219,Male,Yes,3+,Graduate,No,Rural
LP002223,Male,Yes,0,Graduate,No,Semiurban
LP002224,Male,No,0,Graduate,No,Urban
LP002225,Male,Yes,2,Graduate,No,Urban
LP002226,Male,Yes,0,Graduate,,Semiurban
LP002229,Male,No,0,Graduate,No,Semiurban
LP002231,Female,No,0,Graduate,No,Urban
LP002234,Male,No,0,Graduate,Yes,Urban
LP002236,Male,Yes,2,Graduate,No,Urban
LP002237,Male,No,1,Graduate,,Urban
LP002239,Male,No,0,Not Graduate,No,Semiurban
LP002243,Male,Yes,0,Not Graduate,No,Urban
LP002244,Male,Yes,0,Graduate,No,Urban
LP002250,Male,Yes,0,Graduate,No,Rural
LP002255,Male,No,3+,Graduate,No,Rural
LP002262,Male,Yes,3+,Graduate,No,Rural
LP002263,Male,Yes,0,Graduate,No,Urban
LP002265,Male,Yes,2,Not Graduate,No,Semiurban
LP002266,Male,Yes,2,Graduate,No,Urban
LP002272,Male,Yes,2,Graduate,No,Semiurban
LP002277,Female,No,0,Graduate,No,Urban
LP002281,Male,Yes,0,Graduate,No,Urban
LP002284,Male,No,0,Not Graduate,No,Rural
LP002287,Female,No,0,Graduate,No,Semiurban
LP002288,Male,Yes,2,Not Graduate,No,Urban
LP002296,Male,No,0,Not Graduate,No,Rural
LP002297,Male,No,0,Graduate,No,Semiurban
LP002300,Female,No,0,Not Graduate,No,Semiurban
LP002301,Female,No,0,Graduate,Yes,Rural
LP002305,Female,No,0,Graduate,No,Semiurban
LP002308,Male,Yes,0,Not Graduate,No,Urban
LP002314,Female,No,0,Not Graduate,No,Rural
LP002315,Male,Yes,1,Graduate,No,Semiurban
LP002317,Male,Yes,3+,Graduate,No,Rural
LP002318,Female,No,1,Not Graduate,Yes,Semiurban
LP002319,Male,Yes,0,Graduate,,Urban
LP002328,Male,Yes,0,Not Graduate,No,Rural
LP002332,Male,Yes,0,Not Graduate,No,Rural
LP002335,Female,Yes,0,Not Graduate,No,Semiurban
LP002337,Female,No,0,Graduate,No,Urban
LP002341,Female,No,1,Graduate,No,Urban
LP002342,Male,Yes,2,Graduate,Yes,Urban
LP002345,Male,Yes,0,Graduate,No,Rural
LP002347,Male,Yes,0,Graduate,No,Semiurban
LP002348,Male,Yes,0,Graduate,No,Rural
LP002357,Female,No,0,Not Graduate,No,Urban
LP002361,Male,Yes,0,Graduate,No,Urban
LP002362,Male,Yes,1,Graduate,No,Urban
LP002364,Male,Yes,0,Graduate,No,Semiurban
LP002366,Male,Yes,0,Graduate,No,Rural
LP002367,Female,No,1,Not Graduate,No,Rural
LP002368,Male,Yes,2,Graduate,No,Semiurban
LP002369,Male,Yes,0,Graduate,No,Rural
LP002370,Male,No,0,Not Graduate,No,Urban
LP002377,Female,No,1,Graduate,Yes,Semiurban
LP002379,Male,No,0,Graduate,No,Rural
LP002386,Male,No,0,Graduate,,Semiurban
LP002387,Male,Yes,0,Graduate,No,Semiurban
LP002390,Male,No,0,Graduate,No,Urban
LP002393,Female,,,Graduate,No,Semiurban
LP002398,Male,No,0,Graduate,No,Semiurban
LP002401,Male,Yes,0,Graduate,No,Urban
LP002403,Male,No,0,Graduate,Yes,Urban
LP002407,Female,Yes,0,Not Graduate,Yes,Rural
LP002408,Male,No,0,Graduate,No,Semiurban
LP002409,Male,Yes,0,Graduate,No,Rural
LP002418,Male,No,3+,Not Graduate,No,Semiurban
LP002422,Male,No,1,Graduate,No,Semiurban
LP002424,Male,Yes,0,Graduate,No,Rural
LP002429,Male,Yes,1,Graduate,Yes,Rural
LP002434,Male,Yes,2,Not Graduate,No,Rural
LP002435,Male,Yes,0,Graduate,,Rural
LP002443,Male,Yes,2,Graduate,No,Rural
LP002444,Male,No,1,Not Graduate,Yes,Semiurban
LP002446,Male,Yes,2,Not Graduate,No,Rural
LP002447,Male,Yes,2,Not Graduate,No,Urban
LP002448,Male,Yes,0,Graduate,No,Rural
LP002449,Male,Yes,0,Graduate,No,Rural
LP002453,Male,No,0,Graduate,Yes,Semiurban
LP002455,Male,Yes,2,Graduate,No,Semiurban
LP002459,Male,Yes,0,Graduate,No,Urban
LP002467,Male,Yes,0,Graduate,No,Urban
LP002472,Male,No,2,Graduate,No,Rural
LP002473,Male,Yes,0,Graduate,No,Semiurban
LP002478,,Yes,0,Graduate,Yes,Semiurban
LP002484,Male,Yes,3+,Graduate,No,Urban
LP002487,Male,Yes,0,Graduate,No,Rural
LP002489,Female,No,1,Not Graduate,,Semiurban
LP002493,Male,No,0,Graduate,No,Semiurban
LP002494,Male,No,0,Graduate,No,Rural
LP002500,Male,Yes,3+,Not Graduate,No,Urban
LP002501,,Yes,0,Graduate,No,Semiurban
LP002502,Female,Yes,2,Not Graduate,,Semiurban
LP002505,Male,Yes,0,Graduate,No,Urban
LP002515,Male,Yes,1,Graduate,Yes,Semiurban
LP002517,Male,Yes,1,Not Graduate,No,Rural
LP002519,Male,Yes,3+,Graduate,No,Semiurban
LP002522,Female,No,0,Graduate,Yes,Urban
LP002524,Male,No,2,Graduate,No,Rural
LP002527,Male,Yes,2,Graduate,Yes,Rural
LP002529,Male,Yes,2,Graduate,No,Semiurban
LP002530,,Yes,2,Graduate,No,Semiurban
LP002531,Male,Yes,1,Graduate,Yes,Semiurban
LP002533,Male,Yes,2,Graduate,No,Urban
LP002534,Female,No,0,Not Graduate,No,Rural
LP002536,Male,Yes,3+,Not Graduate,No,Rural
LP002537,Male,Yes,0,Graduate,No,Semiurban
LP002541,Male,Yes,0,Graduate,No,Semiurban
LP002543,Male,Yes,2,Graduate,No,Semiurban
LP002544,Male,Yes,1,Not Graduate,No,Rural
LP002545,Male,No,2,Graduate,No,Rural
LP002547,Male,Yes,1,Graduate,No,Urban
LP002555,Male,Yes,2,Graduate,Yes,Semiurban
LP002556,Male,No,0,Graduate,No,Urban
LP002560,Male,No,0,Not Graduate,No,Semiurban
LP002562,Male,Yes,1,Not Graduate,No,Urban
LP002571,Male,No,0,Not Graduate,No,Rural
LP002582,Female,No,0,Not Graduate,Yes,Semiurban
LP002585,Male,Yes,0,Graduate,No,Rural
LP002586,Female,Yes,1,Graduate,No,Semiurban
LP002587,Male,Yes,0,Not Graduate,No,Rural
LP002588,Male,Yes,0,Graduate,No,Urban
LP002600,Male,Yes,1,Graduate,Yes,Semiurban
LP002602,Male,No,0,Graduate,No,Rural
LP002603,Female,No,0,Graduate,No,Rural
LP002606,Female,No,0,Graduate,No,Semiurban
LP002615,Male,Yes,2,Graduate,No,Semiurban
LP002618,Male,Yes,1,Not Graduate,No,Rural
LP002619,Male,Yes,0,Not Graduate,No,Semiurban
LP002622,Male,Yes,2,Graduate,No,Rural
LP002624,Male,Yes,0,Graduate,No,Urban
LP002625,,No,0,Graduate,No,Urban
LP002626,Male,Yes,0,Graduate,Yes,Urban
LP002634,Female,No,1,Graduate,No,Urban
LP002637,Male,No,0,Not Graduate,No,Rural
LP002640,Male,Yes,1,Graduate,No,Semiurban
LP002643,Male,Yes,2,Graduate,No,Urban
LP002648,Male,Yes,0,Graduate,No,Semiurban
LP002652,Male,No,0,Graduate,No,Rural
LP002659,Male,Yes,3+,Graduate,No,Rural
LP002670,Female,Yes,2,Graduate,No,Semiurban
LP002682,Male,Yes,,Not Graduate,No,Semiurban
LP002683,Male,No,0,Graduate,No,Semiurban
LP002684,Female,No,0,Not Graduate,No,Rural
LP002689,Male,Yes,2,Not Graduate,No,Semiurban
LP002690,Male,No,0,Graduate,No,Semiurban
LP002692,Male,Yes,3+,Graduate,Yes,Rural
LP002693,Male,Yes,2,Graduate,Yes,Rural
LP002697,Male,No,0,Graduate,No,Semiurban
LP002699,Male,Yes,2,Graduate,Yes,Rural
LP002705,Male,Yes,0,Graduate,No,Semiurban
LP002706,Male,Yes,1,Not Graduate,No,Semiurban
LP002714,Male,No,1,Not Graduate,No,Semiurban
LP002716,Male,No,0,Not Graduate,No,Semiurban
LP002717,Male,Yes,0,Graduate,No,Rural
LP002720,Male,Yes,3+,Graduate,No,Urban
LP002723,Male,No,2,Graduate,No,Rural
LP002729,Male,No,1,Graduate,No,Semiurban
LP002731,Female,No,0,Not Graduate,Yes,Urban
LP002732,Male,No,0,Not Graduate,,Rural
LP002734,Male,Yes,0,Graduate,No,Urban
LP002738,Male,No,2,Graduate,No,Semiurban
LP002739,Male,Yes,0,Not Graduate,No,Rural
LP002740,Male,Yes,3+,Graduate,No,Rural
LP002741,Female,Yes,1,Graduate,No,Semiurban
